A,First letter
Washout,"The washing out or away of earth, etc., especially of a portion of the bed of a road or railroad by a fall of rain or a freshet; also, a place, especially in the bed of a road or railroad, where the earth has been washed away."
Wasteboard,"See Washboard, 3."
Watcher,"One who watches; one who sits up or continues; a diligent observer; specifically, one who attends upon the sick during the night."
Water hyacinth,"Either of several tropical aquatic plants of the genus Eichhornia, related to the pickerel weed."
Water level,The level formed by the surface of still water.
Watermark,"See Water line, 2."
Water pox,"A variety of chicken pox, or varicella."
Xanthoxylene,A liquid hydrocarbon of the terpene series extracted from the seeds of a Japanese prickly ash (Xanthoxylum pipertium) as an aromatic oil.
Xiphoid,Of or pertaining to the xiphoid process; xiphoidian.
Xylophaga,A genus of marine bivalves which bore holes in wood. They are allied to Pholas.
Y,"One of the forked holders for supporting the telescope of a leveling instrument, or the axis of a theodolite; a wye."
Yakare,Same as Yacare.
Yate,A gate.  See 1st Gate.
Yaw,"To rise in blisters, breaking in white froth, as cane juice in the clarifiers in sugar works."
Yerk,A sudden or quick thrust or motion; a jerk.
Yestereve,Alt. of Yester-evening
Yet,In addition; further; besides; over and above; still.
Yodel,Alt. of Yodle
Yoke,Fig.: That which connects or binds; a chain; a link; a bond connection.
Yote,"To pour water on; to soak in, or mix with, water."
Young,"Being in the first part, pr period, of growth; as, a young plant; a young tree."
Zealless,Wanting zeal.
Zebrawood,"A kind of cabinet wood having beautiful black, brown, and whitish stripes, the timber of a tropical American tree (Connarus Guianensis)."
Zechin,See Sequin.
Zedoary,"A medicinal substance obtained in the East Indies, having a fragrant smell, and a warm, bitter, aromatic taste. It is used in medicine as a stimulant."
Zein,"A nitrogenous substance of the nature of gluten, obtained from the seeds of Indian corn (Zea) as a soft, yellowish, amorphous substance."
Zemni,"The blind mole rat (Spalax typhlus), native of Eastern Europe and Asia. Its eyes and ears are rudimentary, and its fur is soft and brownish, more or less tinged with gray. It constructs extensive burrows."
Zincking,Alt. of Zincing
Zoanthropy,A kind of monomania in which the patient believes himself transformed into one of the lower animals.
